id = 184
editor = MH


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2022
reference = arxiv.org/pdf/2211.11274
inspiretex = CLAS:2022syx
reference2 = bin averages by M.H.

### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 
# only statistical error is given to us so syst error is 0

### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2023 ALU
#                                                        error
#   Q2     xB     -t         phi            ALU       stat    syst
#################################################################
1.17098 0.09829 0.29026 37.97575725282999 0.159234 0.0140607 0
1.17098 0.09829 0.29026 48.0533400240475 0.151797 0.0160885 0
1.17098 0.09829 0.29026 58.24287874843357 0.243558 0.0293341 0
1.17098 0.09829 0.29026 68.98354557595599 0.0223399 0.090008 0
1.17098 0.09829 0.29026 95.19579174539602 -0.00221551 0.104319 0
1.17098 0.09829 0.29026 113.81348234037699 0.281879 0.0738019 0
1.17098 0.09829 0.29026 124.72431763305325 0.0733999 0.0624361 0
1.17098 0.09829 0.29026 135.39049994720867 0.0198674 0.056601 0
1.17098 0.09829 0.29026 145.74957688317394 0.0534143 0.0465421 0
1.17098 0.09829 0.29026 156.90621106996133 0.0682335 0.0431187 0
1.17098 0.09829 0.29026 167.17132292752515 -0.0629471 0.0442703 0
1.17098 0.09829 0.29026 178.0684072331183 -0.0157314 0.0517939 0
1.17098 0.09829 0.29026 188.69161771263887 -0.141388 0.0649158 0
1.17098 0.09829 0.29026 199.44546256944932 -0.0911124 0.0758307 0
1.17098 0.09829 0.29026 210.54938463908468 -0.0686843 0.0806255 0
1.17098 0.09829 0.29026 220.91419115300124 -0.0931732 0.101286 0
1.17098 0.09829 0.29026 235.7824459366461 -0.0423303 0.119326 0
1.17098 0.09829 0.29026 250.48969957985923 0.00519163 0.0854588 0
1.17098 0.09829 0.29026 260.9839945554754 -0.328399 0.0790022 0
1.17098 0.09829 0.29026 271.7544551883446 -0.199469 0.0719668 0
1.17098 0.09829 0.29026 282.65383132511823 -0.326399 0.0710539 0
1.17098 0.09829 0.29026 294.15939680914033 -0.187768 0.0500894 0
1.17098 0.09829 0.29026 304.85422701305225 -0.192162 0.026398 0
