id = 181
editor = MH


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2022
reference = arxiv.org/pdf/2211.11274
inspiretex = CLAS:2022syx
reference2 = bin averages by M.H.

### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 
# only statistical error is given to us so syst error is 0

### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = rad
x4value = column4

### Data
#
#  CLAS 2022 ALU
#                                                error
#   Q2     xB     -t      phi       ALU       stat     syst
#################################################################
1.17006 0.09397 0.15512 0.0956332 -0.00401505 0.0153526 0
1.17006 0.09397 0.15512 0.285004 0.063576 0.0164779 0
1.17006 0.09397 0.15512 0.470248 0.0983536 0.0173404 0
1.17006 0.09397 0.15512 0.657727 0.145918 0.0168122 0
1.17006 0.09397 0.15512 0.846992 0.165289 0.0183801 0
1.17006 0.09397 0.15512 1.02486 0.226742 0.0220662 0
1.17006 0.09397 0.15512 1.2117 0.170445 0.0358811 0
1.17006 0.09397 0.15512 1.39714 0.201054 0.0512921 0
1.17006 0.09397 0.15512 1.63923 0.196896 0.0689447 0
1.17006 0.09397 0.15512 1.85155 0.19516 0.0806462 0
1.17006 0.09397 0.15512 2.05259 0.22057 0.058886 0
1.17006 0.09397 0.15512 2.23179 0.102624 0.0593524 0
1.17006 0.09397 0.15512 2.42405 0.153486 0.0460841 0
1.17006 0.09397 0.15512 2.60851 0.197954 0.0476778 0
1.17006 0.09397 0.15512 2.79357 0.0944589 0.0478898 0
1.17006 0.09397 0.15512 2.97903 -0.000287466 0.0581132 0
1.17006 0.09397 0.15512 3.16555 0.051989 0.064546 0
1.17006 0.09397 0.15512 3.36159 -0.093807 0.0695206 0
1.17006 0.09397 0.15512 3.5479 -0.00275131 0.0675397 0
1.17006 0.09397 0.15512 3.7336 -0.181496 0.0858614 0
1.17006 0.09397 0.15512 4.02357 -0.434516 0.101771 0
1.17006 0.09397 0.15512 4.78751 -0.396749 0.129083 0
1.17006 0.09397 0.15512 5.00972 -0.138658 0.0578388 0
1.17006 0.09397 0.15512 5.19377 -0.209361 0.0319571 0
1.17006 0.09397 0.15512 5.37697 -0.21347 0.0210983 0
1.17006 0.09397 0.15512 5.56123 -0.153312 0.0188983 0
1.17006 0.09397 0.15512 5.7458 -0.0964044 0.017923 0
1.17006 0.09397 0.15512 5.9331 -0.152948 0.0189522 0
1.17006 0.09397 0.15512 6.15683 -0.0428874 0.0157058 0
1.20288 0.16264 0.16717 0.0968203 0.00788785 0.0404457 0
1.20288 0.16264 0.16717 0.280193 0.111085 0.0357623 0
1.20288 0.16264 0.16717 0.465177 0.13975 0.041485 0
1.20288 0.16264 0.16717 0.654125 0.253767 0.0494776 0
1.20288 0.16264 0.16717 0.838284 0.245527 0.071006 0
1.20288 0.16264 0.16717 1.07185 0.368885 0.0662578 0
1.20288 0.16264 0.16717 1.29118 0.186504 0.101813 0
