id = 165
editor = MH
# Cuts on t/Q2<0.25
# Problematic points commented out

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2018
reference = arxiv.org/pdf/1810.02110

### Scattering Process

frame = Trento

in1energy = 5.88
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity dependent Cross Section
y1unit = nb/GeV^4
y1value = column4
y1errorstatistic = column5
#y1errorsystematic = column6


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = -1

### Data
#
# CLAS 2018 XLU
#
# Q2_center  xB_center  tm_center  FTval FTerr FTerrsyst
###########################################################
  1.128625   0.124125   0.108000  0.468  0.076     0.105
  1.129250   0.124250   0.152250  0.480  0.041     0.055
  1.129600   0.125000   0.203000  0.249  0.029     0.028
  1.130000   0.125000   0.261333  0.212  0.023     0.034
  1.300368   0.154105   0.108211  0.610  0.046     0.075
  1.300889   0.154000   0.152667  0.340  0.025     0.038
  1.301444   0.154000   0.203000  0.171  0.017     0.023
  1.301765   0.154000   0.261588  0.134  0.013     0.021
  1.424500   0.155000   0.108000  0.431  0.041     0.062
  1.425500   0.155000   0.152500  0.280  0.023     0.030
  1.425750   0.155000   0.203000  0.148  0.017     0.021
  1.426111   0.155000   0.261556  0.170  0.014     0.015
  1.426556   0.155000   0.340000  0.080  0.008     0.106
  1.485864   0.184000   0.108500  0.356  0.024     0.067
  1.487091   0.184182   0.153091  0.193  0.015     0.030
  1.487400   0.184000   0.203200  0.179  0.012     0.020
  1.487800   0.184100   0.262100  0.085  0.008     0.150
  1.488100   0.184100   0.340500  0.068  0.007     0.009
  1.670333   0.185000   0.108333  0.289  0.023     0.044
  1.670667   0.185000   0.153000  0.217  0.013     0.020
  1.671111   0.185000   0.203111  0.160  0.011     0.027
  1.671235   0.185000   0.262000  0.096  0.006     0.017
  1.671556   0.185000   0.340111  0.061  0.004     0.008
  1.683696   0.213826   0.109000  0.184  0.013     0.028
  1.684500   0.214000   0.153417  0.137  0.008     0.018
  1.684818   0.214000   0.203273  0.099  0.006     0.010
  1.685600   0.214000   0.262200  0.085  0.005     0.008
  1.685526   0.214211   0.340632  0.055  0.004     0.010
  1.931000   0.214909   0.108545  0.154  0.015     0.026
  1.932600   0.215000   0.153100  0.141  0.010     0.022
  1.935444   0.215000   0.203111  0.101  0.007     0.009
  1.935444   0.215000   0.262000  0.052  0.005     0.009
  1.935059   0.215000   0.340353  0.032  0.003     0.005
  1.934813   0.215000   0.447000  0.018  0.002     0.003
  1.846174   0.243913   0.109348  0.084  0.008     0.014
  1.847227   0.244000   0.153545  0.091  0.006     0.012
  1.847565   0.244000   0.203609  0.058  0.005     0.008
  1.846917   0.244417   0.262583  0.048  0.004     0.011
  1.847632   0.244579   0.341158  0.042  0.003     0.007
  1.847385   0.244538   0.448077  0.014  0.002     0.004
  2.173591   0.244545   0.109273  0.100  0.008     0.016
  2.167500   0.245000   0.153250  0.079  0.006     0.011
  2.177353   0.245000   0.203235  0.066  0.005     0.006
  2.173000   0.245000   0.262200  0.053  0.004     0.009
  2.172200   0.245100   0.340600  0.034  0.003     0.045
  #2.172000   0.245000   0.447500  0.024  0.002    19.302
  1.992941   0.273529   0.110294  0.045  0.005     0.015
  1.997478   0.274087   0.153783  0.036  0.004     0.006
  1.998043   0.274304   0.203696  0.040  0.004     0.008
  1.997842   0.274263   0.262947  0.033  0.003     0.004
  1.996778   0.274444   0.342000  0.018  0.003     0.005
  1.996467   0.274733   0.448733  0.008  0.006     0.010
  2.407733   0.273600   0.110800  0.025  0.005     0.009
  2.412417   0.274667   0.153583  0.042  0.003     0.006
  2.401286   0.274905   0.203476  0.040  0.003     0.007
  2.403818   0.275000   0.262273  0.036  0.002     0.004
  2.410200   0.275000   0.341000  0.026  0.002     0.004
  2.408000   0.275000   0.447600  0.012  0.001     0.003
  #2.144222   0.301000   0.118000 -0.075  0.028     0.013
  2.162412   0.304059   0.154412  0.028  0.004     0.006
  2.164905   0.304333   0.203952  0.024  0.003     0.006
  2.164800   0.304400   0.263000  0.020  0.002     0.004
  2.164000   0.304375   0.342375  0.016  0.002     0.002
  2.161882   0.304647   0.449529  0.012  0.004     0.004
