id = 165
editor = MH
# Cuts on t/Q2<0.25
# Problematic points commented out

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2018
reference = arxiv.org/pdf/1810.02110

### Scattering Process

frame = Trento

in1energy = 5.88
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity dependent Cross Section
y1unit = nb/GeV^4
y1value = column4
y1errorstatistic = column5
#y1errorsystematic = column6


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = -1

### Data
#
# CLAS 2018 XLU
#
# Q2_center  xB_center  tm_center  FTval FTerr FTerrsyst
###########################################################
  2.625909   0.300818   0.118727 -0.001  0.017     0.009
  2.653700   0.304200   0.154300  0.032  0.004     0.005
  2.652500   0.304583   0.203667  0.021  0.002     0.004
  2.642913   0.304739   0.262435  0.024  0.002     0.003
  2.642571   0.304905   0.341190  0.032  0.002     0.004
  2.649700   0.305000   0.447800  0.012  0.001     0.002
  2.646889   0.305000   0.605889  0.006  0.001     0.005
  2.283733   0.332400   0.155533  0.013  0.006     0.006
  2.297000   0.334333   0.204111  0.025  0.009     0.004
  2.297353   0.334412   0.263412  0.018  0.002     0.003
  2.296786   0.334286   0.342714  0.014  0.005     0.002
  2.296571   0.334429   0.451000  0.003  0.002     0.002
  2.843857   0.332429   0.158286  0.037  0.012     0.008
  2.859000   0.334400   0.204100  0.019  0.002     0.004
  2.857750   0.334583   0.262833  0.020  0.001     0.003
  2.848182   0.334818   0.341500  0.011  0.001     0.002
  2.846818   0.334909   0.448000  0.008  0.001     0.001
  2.853105   0.335000   0.606158  0.004  0.001     0.001
  2.387556   0.359000   0.169444 -0.030  0.018     0.008
  2.419400   0.364200   0.204867  0.008  0.004     0.007
  2.420538   0.364231   0.263923  0.008  0.005     0.003
  2.421000   0.364286   0.342857  0.003  0.002     0.002
  2.421400   0.364467   0.450667  0.009  0.004     0.002
  #2.998875   0.358000   0.170750 -0.113  0.064     0.005
  3.050385   0.363692   0.205154  0.017  0.005     0.003
  3.055474   0.364474   0.263368  0.009  0.001     0.002
  3.053609   0.364652   0.341957  0.011  0.001     0.002
  3.040826   0.364826   0.448565  0.006  0.001     0.001
  3.039450   0.365000   0.606700  0.004  0.001     0.001
  2.516100   0.392000   0.213000  0.043  0.018     0.008
  2.552846   0.398615   0.264231  0.010  0.005     0.002
  2.554308   0.398692   0.342923  0.002  0.002     0.001
  2.553692   0.398769   0.451538  0.002  0.009     0.001
  #2.553308   0.398923   0.612615  0.006  0.004   139.612
  3.203875   0.390625   0.215000  0.017  0.019     0.006
  3.265308   0.398385   0.264846  0.003  0.002     0.001
  3.271824   0.398941   0.342765  0.005  0.001     0.001
  #3.270417   0.399500   0.449167  0.005  0.000     0.001
  #3.253045   0.399727   0.607364  0.003  0.000     0.001
  2.846000   0.432300   0.275700  0.030  0.037     0.003
  2.982900   0.446600   0.345800  0.005  0.001     0.001
  #3.077571   0.458143   0.452286  0.002  0.001     0.000
  #3.114882   0.462765   0.611235  0.002  0.001    83.823
  3.588200   0.429000   0.277000  0.022  0.026     0.005
  3.713286   0.447714   0.346000  0.003  0.002     0.001
  #3.844000   0.469250   0.454000  0.002  0.000     0.000
  #3.938875   0.484875   0.612125  0.001  0.000     0.000
  #3.972625   0.491875   0.877750  0.001  0.000     0.000
