id = 163
editor = MH

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2018
reference = arxiv.org/pdf/1810.02110

### Scattering Process

frame = Trento

in1energy = 5.88
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity dependent Cross Section
y1unit = nb/GeV^4
y1value = column5
y1errorstatistic = column6
y1errorsystematic = column7


### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2018 XLU
#
#  xB      Q2    -t  phi     XLU             stat            syst
######################################################################
0.125  1.129  0.108  67.2   0.758345         0.257278        0.456081
0.124  1.128  0.108  82.1   0.395578         0.172215        0.0775448
0.124  1.128  0.108  97.1   0.838923         0.151479        0.107701
0.124  1.128  0.108  112.2  0.199179         0.131733        0.0594735
0.124  1.129  0.108  127.3  0.0267859        0.141649        0.089167
0.124  1.129  0.108  142.3  0.306326         0.104793        0.0393211
0.124  1.129  0.108  157.4  0.262004         0.129722        0.0413562
0.124  1.129  0.108  172.5  0.211324         0.132531        0.0426463
0.124  1.129  0.108  187.5  0.021427         0.0971215       0.020927
0.124  1.129  0.108  202.6  -0.174743        0.0939731       0.0245524
0.124  1.129  0.108  217.7  -0.241364        0.114368        0.123239
0.124  1.129  0.108  232.7  -0.257499        0.142522        0.144474
0.124  1.128  0.108  247.8  -0.309317        0.119789        0.0749128
0.124  1.128  0.108  262.9  -0.622821        0.133366        0.0826876
0.124  1.128  0.108  277.9  -0.681078        0.176323        0.0693894
0.125  1.129  0.108  292.8  0.107549         0.336212        0.219587
0.124  1.128  0.153  66.9   1.06525          0.170629        0.220958
0.124  1.129  0.153  82     0.351715         0.0919505       0.0661009
0.124  1.129  0.152  97.1   0.552447         0.0640839       0.0523904
0.125  1.129  0.152  112.2  0.180936         0.0612163       0.0365832
0.125  1.129  0.152  127.3  0.210245         0.0636223       0.0714662
0.124  1.13   0.152  142.3  0.0682372        0.0500987       0.0139899
0.124  1.13   0.152  157.4  0.0529742        0.0540585       0.012694
0.124  1.13   0.152  172.5  0.116997         0.0513372       0.0241511
0.124  1.13   0.152  187.5  0.067353         0.0751447       0.0710007
0.124  1.13   0.152  202.6  -0.0774474       0.0511901       0.0197149
0.124  1.13   0.152  217.7  -0.0832754       0.0437991       0.0331682
0.125  1.129  0.152  232.7  -0.10155         0.0700132       0.024361
0.125  1.129  0.152  247.8  -0.290883        0.0774344       0.033072
0.124  1.129  0.152  262.9  -0.219917        0.0594524       0.0538194
0.124  1.129  0.153  278    -0.458991        0.0819161       0.0361895
0.124  1.128  0.153  293.1  -0.4769          0.150652        0.102639
0.125  1.129  0.203  66.9   0.143307         0.0986694       0.0561343
0.125  1.129  0.203  82     0.184084         0.0829563       0.0133001
0.125  1.129  0.203  97.1   0.166507         0.04641         0.0263816
0.125  1.13   0.203  112.2  0.207083         0.0591291       0.0168452
0.125  1.13   0.203  127.3  0.0924479        0.0587602       0.0202766
0.125  1.13   0.203  142.3  0.0272374        0.0513139       0.012208
0.125  1.13   0.203  172.5  -0.0282117       0.0557704       0.0348893
0.125  1.13   0.203  187.5  -0.0336179       0.046947        0.0224928
0.125  1.13   0.203  202.6  -0.0120838       0.0361743       0.0170531
0.125  1.13   0.203  217.7  -0.13863         0.0441595       0.0259042
0.125  1.13   0.203  232.7  -0.176231        0.0595001       0.0414536
0.125  1.13   0.203  247.8  -0.195418        0.0517665       0.0490823
0.125  1.129  0.203  262.9  -0.176735        0.0530038       0.0148944
0.125  1.129  0.203  278    -0.277799        0.0564764       0.0269697
0.125  1.129  0.203  293.1  -0.544628        0.124687        0.0463807
0.125  1.129  0.263  52.1   0.454538         0.179111        0.0557638
0.125  1.129  0.262  66.9   0.340414         0.0751387       0.0486572
0.125  1.13   0.261  82     0.19792          0.0471302       0.019534
0.125  1.13   0.261  97.1   0.0529851        0.033017        0.0117002
0.125  1.13   0.261  112.2  0.13481          0.0390878       0.0159484
0.125  1.13   0.261  127.2  -0.0267293       0.043645        0.0487724
0.125  1.13   0.261  142.3  0.116842         0.0417098       0.022097
0.125  1.131  0.261  157.4  0.0264656        0.028608        0.00678316
0.125  1.131  0.261  172.5  -0.0150625       0.0305896       0.0115829
0.125  1.131  0.261  187.5  0.0928351        0.0388139       0.045109
0.125  1.131  0.261  202.6  -0.11681         0.0279344       0.014268
0.125  1.13   0.261  217.7  -0.110625        0.0292143       0.0290349
0.125  1.13   0.261  232.8  -0.0827499       0.0317366       0.0185668
0.125  1.13   0.261  247.8  -0.197751        0.0410491       0.0167893
0.125  1.13   0.261  262.9  -0.126299        0.0333616       0.0120863
0.125  1.13   0.261  278    -0.160702        0.0448231       0.0287007
0.125  1.129  0.262  293.1  -0.217993        0.0606414       0.0185034
0.125  1.129  0.263  307.9  -0.251275        0.113257        0.194794
0.125  1.13   0.34   51.7   0.217321         0.0549601       0.0296864
0.125  1.13   0.34   66.9   0.106034         0.0372484       0.0117748
0.125  1.13   0.34   82     0.0769793        0.0324747       0.0132217
0.125  1.13   0.34   97.1   0.0521081        0.0191482       0.00857316
0.125  1.131  0.34   112.2  0.0425764        0.020359        0.0165982
0.125  1.131  0.34   127.2  0.0222516        0.0203444       0.0119401
0.125  1.131  0.34   142.3  0.0567145        0.0198828       0.0056551
0.125  1.131  0.34   157.4  0.0301141        0.0169682       0.00390867
0.125  1.131  0.34   172.5  0.0197781        0.021713        0.00361411
0.125  1.131  0.34   187.5  -0.0236192       0.0171674       0.0267888
0.125  1.131  0.34   217.7  -0.00271298      0.0209358       0.00288081
0.125  1.131  0.34   232.8  -0.0542602       0.0258304       0.00738555
0.125  1.131  0.34   247.8  -0.0781743       0.0275298       0.044789
0.125  1.13   0.34   262.9  -0.0565681       0.0199852       0.0132623
0.125  1.13   0.34   278    -0.125196        0.0307168       0.013234
0.125  1.13   0.34   293.1  -0.20185         0.0382312       0.0272889
0.125  1.13   0.34   308.3  -0.171549        0.05297         0.0231183
0.125  1.126  0.451  37.5   0.0217206        0.0693321       0.0142154
0.125  1.13   0.446  51.8   0.0649524        0.0275657       0.00923789
0.125  1.13   0.446  66.9   0.0802902        0.0258591       0.00619721
0.125  1.131  0.446  82     0.023001         0.0199189       0.0151861
0.125  1.131  0.446  97.1   0.0354409        0.0126574       0.00881276
0.125  1.131  0.446  112.2  0.0612355        0.0122807       0.00962121
0.125  1.131  0.446  127.2  0.0204974        0.0152361       0.00386266
0.125  1.131  0.446  142.3  0.0138845        0.012717        0.00758305
0.125  1.131  0.446  157.4  -0.00998505      0.0121406       0.00352017
0.125  1.131  0.446  172.5  0.00647305       0.0105645       0.00288745
0.125  1.131  0.446  187.5  -0.00259382      0.0120688       0.00630911
0.125  1.131  0.446  202.6  -0.00746204      0.00989468      0.00652844
0.125  1.131  0.446  217.7  -0.0199173       0.013935        0.00328712
0.125  1.131  0.446  232.8  0.00389572       0.0127099       0.00464415
0.125  1.131  0.446  247.8  -0.010778        0.012004        0.00795159
0.125  1.131  0.446  262.9  -0.0369278       0.0141503       0.00356073
0.125  1.131  0.446  278    -0.0330602       0.0146186       0.00395372
0.125  1.13   0.446  293.1  -0.0879626       0.0172739       0.00642597
0.125  1.13   0.446  308.2  -0.0426315       0.0290605       0.0219681
0.125  1.126  0.451  322.5  -0.0897167       0.0753662       0.0257915
0.125  1.125  0.615  22.9   0.116021         0.0520797       0.0139754
0.126  1.131  0.602  36.7   0.0227332        0.0157149       0.00754331
0.125  1.131  0.603  51.8   0.0112652        0.0144589       0.00488878
0.125  1.131  0.603  82     0.0272763        0.013544        0.0118163
0.125  1.131  0.603  97.1   0.0162461        0.00671038      0.00200056
0.125  1.131  0.603  112.1  0.00306738       0.00731658      0.00295536
0.125  1.132  0.603  127.2  -0.0063046       0.00686982      0.00275585
0.125  1.132  0.603  142.3  -0.0175563       0.00897809      0.00334091
0.125  1.132  0.603  157.4  -0.00759204      0.00690658      0.00349119
0.125  1.132  0.603  172.5  0.0062807        0.0101605       0.00059002
0.125  1.132  0.603  187.5  0.00247094       0.00886002      0.00665769
0.125  1.132  0.603  202.6  0.00472038       0.00613866      0.00309626
0.125  1.132  0.603  217.7  -0.00415004      0.0055308       0.00347244
0.125  1.132  0.603  232.8  0.00103701       0.00591265      0.0040529
0.125  1.131  0.603  262.9  0.00378366       0.00797246      0.0025787
0.125  1.131  0.603  278    -0.0134792       0.0117167       0.00278463
0.125  1.131  0.603  293.1  -0.00708719      0.0124162       0.00519631
0.125  1.131  0.603  308.2  -0.0454152       0.0158077       0.0115392
0.126  1.131  0.602  323.3  0.0232742        0.0240516       0.00625265
0.125  1.125  0.615  337.1  -0.0477851       0.0394169       0.0092998
0.126  1.13   0.859  7.3    0.00498107       0.014049        0.00221224
0.126  1.13   0.86   21.9   0.0106498        0.0108634       0.00853167
0.126  1.13   0.862  36.8   -0.00178971      0.00625979      0.00228946
0.125  1.131  0.863  51.8   0.00356522       0.0047405       0.00176607
0.125  1.131  0.864  66.9   0.00122267       0.00509809      0.00105221
0.125  1.131  0.864  82     0.0161594        0.00520011      0.0018931
0.125  1.132  0.864  97.1   0.00202341       0.0036374       0.00206358
0.125  1.132  0.864  112.1  -0.00292336      0.00347465      0.00187929
0.125  1.132  0.864  127.2  -0.00283117      0.00437972      0.000938122
0.125  1.132  0.864  157.4  -0.00270737      0.00606332      0.0037302
0.125  1.132  0.864  187.5  0.0135793        0.0131094       0.000791803
0.125  1.132  0.864  202.6  0.0113463        0.00975459      0.00363183
0.125  1.132  0.864  217.7  -0.00304482      0.00291243      0.00183581
0.125  1.132  0.864  232.8  -0.00236846      0.00422064      0.00153453
0.125  1.132  0.864  262.9  -0.00402111      0.00397395      0.000726439
0.125  1.131  0.864  278    0.00580723       0.00379575      0.0028311
0.125  1.131  0.864  293.1  -0.00636179      0.00554521      0.00343206
0.125  1.131  0.863  308.2  0.00222117       0.0087031       0.00241565
0.126  1.13   0.862  323.2  0.0201054        0.00940611      0.00326879
0.126  1.13   0.86   338.1  0.0028345        0.00980454      0.0058256
0.126  1.13   0.859  352.7  -0.0192694       0.0104503       0.00472629
0.126  1.127  1.398  7.3    -0.000655396     0.00301079      0.0015955
0.126  1.128  1.39   21.9   0.000549994      0.00391986      0.000873416
0.126  1.13   1.382  36.8   0.0013822        0.00206705      0.000583457
0.125  1.131  1.379  51.8   0.00168306       0.00170455      0.00170663
0.125  1.132  1.377  66.9   0.0040289        0.00140921      0.00100013
0.125  1.132  1.376  82     0.00464628       0.00338381      0.000431469
0.125  1.133  1.377  97.1   0.00265637       0.00266922      0.000557305
0.125  1.132  1.377  157.3  -0.00719878      0.0153494       0.0018957
0.125  1.133  1.377  172.5  0.00272545       0.00245686      0.000955398
0.125  1.133  1.377  262.9  -0.00487677      0.00690905      0.0012457
0.125  1.132  1.376  278    0.00213612       0.0017592       0.00109966
0.125  1.132  1.377  293.1  0.000271219      0.00104876      0.000654636
0.125  1.131  1.379  308.2  0.00460143       0.00235073      0.000600884
0.126  1.13   1.382  323.2  -0.00145227      0.00190371      0.00126383
0.126  1.128  1.39   338.1  -0.00582061      0.00251398      0.000706879
