id = 191
editor = MH


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2022
reference = arxiv.org/pdf/2211.11274
inspiretex = CLAS:2022syx
reference2 = bin averages by M.H. 


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.2
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 
# only statistical error is given to us, syst error is approx 0

### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = rad
x4value = column4

### Data
#
#  CLAS 2022 ALU
#                                             error
#   Q2     xB     -t      phi      ALU    stat     syst
#################################################################
1.35411 0.09835 0.14931 0.301683 0.129798 0.056638 0
1.35411 0.09835 0.14931 0.637473 -0.0121261 0.0796433 0
1.35411 0.09835 0.14931 0.849838 -0.0650657 0.0808073 0
1.35411 0.09835 0.14931 1.09658 0.504813 0.0658236 0
1.35411 0.09835 0.14931 5.21343 -0.159961 0.0854133 0
1.35411 0.09835 0.14931 5.43878 -0.124905 0.0743217 0
1.35411 0.09835 0.14931 5.66567 -0.130172 0.0748107 0
1.35411 0.09835 0.14931 6.01667 0.119229 0.0864193 0
1.35525 0.09856 0.28166 0.498833 -0.02502 0.108752 0
1.35525 0.09856 0.28166 0.757412 0.196018 0.0574138 0
1.35525 0.09856 0.28166 0.972862 0.328134 0.0894706 0
1.35525 0.09856 0.28166 5.4243 -0.167878 0.0783341 0
1.35525 0.09856 0.28166 5.65026 -0.248583 0.0755714 0
1.58945 0.11531 0.15422 0.0986021 -0.0606458 0.0437757 0
1.58945 0.11531 0.15422 0.288461 0.0630693 0.0401014 0
1.58945 0.11531 0.15422 0.479294 0.180689 0.0299165 0
1.58945 0.11531 0.15422 0.657205 0.115477 0.0316787 0
1.58945 0.11531 0.15422 0.834717 0.141207 0.0394003 0
1.58945 0.11531 0.15422 1.01918 0.0899433 0.0905602 0
1.58945 0.11531 0.15422 2.21961 0.210126 0.0794509 0
1.58945 0.11531 0.15422 2.53583 -0.0998786 0.0997401 0
1.58945 0.11531 0.15422 2.8685 0.254379 0.0670622 0
1.58945 0.11531 0.15422 3.27273 0.036488 0.11475 0
1.58945 0.11531 0.15422 5.19825 -0.20039 0.115827 0
1.58945 0.11531 0.15422 5.3832 -0.122991 0.0491585 0
1.58945 0.11531 0.15422 5.56029 -0.160578 0.0326173 0
1.58945 0.11531 0.15422 5.74501 -0.240773 0.0349216 0
1.58945 0.11531 0.15422 5.93031 -0.0701983 0.0529358 0
1.58945 0.11531 0.15422 6.14694 -0.0620141 0.0414971 0
1.69665 0.15144 0.172 0.0974614 0.0732246 0.057557 0
1.69665 0.15144 0.172 0.27841 0.0725181 0.0606747 0
1.69665 0.15144 0.172 0.448866 -0.135158 0.120338 0
1.69665 0.15144 0.172 0.723672 0.308131 0.120157 0
1.69665 0.15144 0.172 1.58276 0.277034 0.0830954 0
1.69665 0.15144 0.172 2.10796 0.386755 0.0622165 0
1.69665 0.15144 0.172 2.53767 0.144717 0.0819198 0
1.69665 0.15144 0.172 2.87002 -0.0623008 0.103576 0
1.69665 0.15144 0.172 3.38909 -0.000776718 0.0885842 0
1.69665 0.15144 0.172 5.77544 -0.132423 0.128749 0
1.69665 0.15144 0.172 6.00308 -0.20428 0.0912097 0
1.69665 0.15144 0.172 6.19079 0.0735508 0.0664305 0
1.7093 0.25182 0.19685 0.227298 0.279535 0.0667114 0
1.7093 0.25182 0.19685 0.699918 0.261341 0.0889208 0
1.7093 0.25182 0.19685 1.38316 0.620482 0.0880599 0
1.7093 0.25182 0.19685 5.84027 -0.134158 0.111455 0
1.7093 0.25182 0.19685 6.18515 -0.0391029 0.151501 0
1.57606 0.11591 0.28158 0.276232 0.0553934 0.0797645 0
1.57606 0.11591 0.28158 0.493411 0.144641 0.0416775 0
1.57606 0.11591 0.28158 0.66374 0.178948 0.0268465 0
1.57606 0.11591 0.28158 0.826725 0.0881947 0.0453301 0
1.57606 0.11591 0.28158 1.00835 0.130596 0.105662 0
1.57606 0.11591 0.28158 2.42004 0.156402 0.0803841 0
1.57606 0.11591 0.28158 2.67318 0.142621 0.0949008 0
1.57606 0.11591 0.28158 2.87791 0.109925 0.0888719 0
1.57606 0.11591 0.28158 3.19625 0.0251794 0.106692 0
1.57606 0.11591 0.28158 5.25847 -0.233708 0.120597 0
1.57606 0.11591 0.28158 5.45365 -0.10565 0.0427178 0
1.57606 0.11591 0.28158 5.61798 -0.128623 0.0293169 0
1.57606 0.11591 0.28158 5.79195 -0.100567 0.0479517 0
1.57606 0.11591 0.28158 6.02175 -0.258086 0.0797813 0
1.68142 0.14763 0.30596 0.0929998 -0.0683897 0.0510465 0
1.68142 0.14763 0.30596 0.283133 -0.0164725 0.0478498 0
1.68142 0.14763 0.30596 0.462577 0.257012 0.0482678 0
1.68142 0.14763 0.30596 0.631472 0.655418 0.0823347 0
1.68142 0.14763 0.30596 2.20135 0.135683 0.0976985 0
1.68142 0.14763 0.30596 2.57398 -0.0876587 0.115124 0
1.68142 0.14763 0.30596 2.83109 0.0396971 0.111685 0
1.68142 0.14763 0.30596 3.0674 -0.072587 0.106569 0
1.68142 0.14763 0.30596 3.44833 -0.336625 0.102589 0
1.68142 0.14763 0.30596 5.71297 -0.327082 0.163401 0
1.68142 0.14763 0.30596 5.87637 -0.0402555 0.0443012 0
1.68142 0.14763 0.30596 6.11797 -0.0280145 0.0316618 0
1.58086 0.11435 0.56382 0.451774 0.163241 0.0670756 0
1.58086 0.11435 0.56382 0.60099 0.142182 0.0332707 0
1.58086 0.11435 0.56382 0.76252 0.172023 0.0785696 0
1.58086 0.11435 0.56382 2.54412 0.374767 0.0933169 0
1.58086 0.11435 0.56382 3.00049 -0.137749 0.103465 0
1.58086 0.11435 0.56382 4.43658 0.2065 0.108481 0
1.58086 0.11435 0.56382 4.78322 -0.142873 0.0916918 0
1.58086 0.11435 0.56382 5.39058 0.0935139 0.0942523 0
1.58086 0.11435 0.56382 5.63921 -0.262938 0.0446202 0
1.58086 0.11435 0.56382 5.78509 -0.0620986 0.0435291 0
1.67471 0.15427 0.56873 0.179386 0.0220792 0.0694969 0
1.67471 0.15427 0.56873 0.416525 0.000613912 0.0531102 0
1.67471 0.15427 0.56873 0.563691 0.197259 0.124671 0
1.67471 0.15427 0.56873 2.36913 0.0275525 0.178554 0
1.67471 0.15427 0.56873 2.83519 -0.0320458 0.0961508 0
1.67471 0.15427 0.56873 3.36541 0.0476292 0.108338 0
1.67471 0.15427 0.56873 4.79055 -0.166888 0.118065 0
1.67471 0.15427 0.56873 5.16592 -0.0637423 0.107409 0
1.67471 0.15427 0.56873 5.67886 -0.336356 0.115614 0
1.67471 0.15427 0.56873 5.86768 -0.0152803 0.0414831 0
1.67471 0.15427 0.56873 6.08541 0.0542667 0.0553917 0
1.58832 0.11466 1.03813 0.121889 0.198784 0.0601381 0
1.58832 0.11466 1.03813 0.362203 -0.092953 0.0766788 0
1.58832 0.11466 1.03813 5.81504 -0.121317 0.0948042 0
1.58832 0.11466 1.03813 5.98626 0.117809 0.0563316 0
1.58832 0.11466 1.03813 6.18943 0.0558603 0.0723729 0
2.00738 0.14224 0.16373 0.0963556 0.0144519 0.029808 0
2.00738 0.14224 0.16373 0.288002 0.0785324 0.0264633 0
2.00738 0.14224 0.16373 0.472598 0.130264 0.0265379 0
2.00738 0.14224 0.16373 0.65032 0.106946 0.0352559 0
2.00738 0.14224 0.16373 0.828154 0.329336 0.057255 0
2.00738 0.14224 0.16373 1.0379 -0.272546 0.211952 0
2.00738 0.14224 0.16373 1.96019 0.24106 0.0770047 0
2.00738 0.14224 0.16373 2.36423 0.108634 0.0838141 0
2.00738 0.14224 0.16373 2.7288 0.266575 0.0733567 0
2.00738 0.14224 0.16373 3.20085 0.0349802 0.0850855 0
2.00738 0.14224 0.16373 3.67741 -0.127259 0.128856 0
2.00738 0.14224 0.16373 5.26362 -0.0170134 0.154571 0
2.00738 0.14224 0.16373 5.4523 -0.294424 0.0753994 0
2.00738 0.14224 0.16373 5.62872 -0.0965065 0.0347301 0
2.00738 0.14224 0.16373 5.80937 -0.106931 0.0308691 0
2.00738 0.14224 0.16373 5.99369 -0.0187838 0.0312942 0
2.00738 0.14224 0.16373 6.18606 -0.0955899 0.0325955 0
2.15247 0.19636 0.18428 0.094015 0.00293917 0.0443714 0
2.15247 0.19636 0.18428 0.28139 0.00804255 0.0455674 0
2.15247 0.19636 0.18428 0.465416 0.2125 0.0510703 0
2.15247 0.19636 0.18428 0.654307 0.242538 0.061729 0
2.15247 0.19636 0.18428 0.844025 0.28868 0.080767 0
2.15247 0.19636 0.18428 1.03951 0.0712511 0.0988354 0
2.15247 0.19636 0.18428 1.2642 0.42536 0.0532168 0
2.15247 0.19636 0.18428 1.5007 0.451736 0.0510357 0
2.15247 0.19636 0.18428 1.72526 0.214882 0.0793078 0
2.15247 0.19636 0.18428 1.91453 0.200965 0.088152 0
2.15247 0.19636 0.18428 2.13489 0.333614 0.0693445 0
2.15247 0.19636 0.18428 2.35243 0.0383853 0.0977493 0
2.15247 0.19636 0.18428 2.57885 0.0736695 0.0903292 0
2.15247 0.19636 0.18428 2.87991 0.160882 0.0764931 0
2.15247 0.19636 0.18428 3.33979 -0.0941306 0.0903668 0
2.15247 0.19636 0.18428 3.86395 -0.304386 0.104012 0
2.15247 0.19636 0.18428 4.46151 -0.21955 0.148056 0
2.15247 0.19636 0.18428 5.66095 -0.0221449 0.101016 0
2.15247 0.19636 0.18428 5.88613 0.0447147 0.0633879 0
2.15247 0.19636 0.18428 6.13516 -0.00338804 0.0383895 0
2.14836 0.30972 0.23791 0.0984499 0.0552195 0.0945899 0
2.14836 0.30972 0.23791 0.277188 0.0539578 0.0740562 0
2.14836 0.30972 0.23791 0.479985 0.0413396 0.105902 0
2.14836 0.30972 0.23791 0.675381 0.313602 0.0725278 0
2.14836 0.30972 0.23791 0.938243 0.103809 0.100105 0
2.14836 0.30972 0.23791 1.32815 0.466141 0.0824455 0
2.14836 0.30972 0.23791 5.18953 -0.0434758 0.134186 0
2.14836 0.30972 0.23791 5.63743 -0.162394 0.107186 0
2.14836 0.30972 0.23791 5.87175 0.159152 0.0935939 0
2.14836 0.30972 0.23791 6.1373 -0.073077 0.0784112 0
1.99204 0.14594 0.29606 0.101037 -0.033155 0.0661352 0
1.99204 0.14594 0.29606 0.296362 0.0437502 0.045566 0
1.99204 0.14594 0.29606 0.478125 0.0712709 0.0296723 0
1.99204 0.14594 0.29606 0.654422 0.160004 0.0264228 0
1.99204 0.14594 0.29606 0.823581 0.179854 0.0539101 0
1.99204 0.14594 0.29606 1.99611 -0.0053057 0.102382 0
1.99204 0.14594 0.29606 2.37756 0.387993 0.0639864 0
1.99204 0.14594 0.29606 2.67348 0.0212293 0.0897968 0
1.99204 0.14594 0.29606 2.89958 0.0517483 0.106315 0
1.99204 0.14594 0.29606 3.20012 -0.0564642 0.11005 0
1.99204 0.14594 0.29606 4.47223 -0.773884 0.13566 0
1.99204 0.14594 0.29606 5.45089 -0.188897 0.0615575 0
1.99204 0.14594 0.29606 5.62885 -0.126506 0.0281065 0
1.99204 0.14594 0.29606 5.80645 -0.172939 0.0324533 0
1.99204 0.14594 0.29606 5.98718 -0.101704 0.0463163 0
1.99204 0.14594 0.29606 6.17531 -0.11134 0.0698099 0
