id = 150
editor = KK

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2022
reference = arXiv:2211.11274 
inspiretex = CLAS:2022syx
reference2 = F.T. by K.K.


### Scattering Process

frame = Trento

in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
# y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = -1

x5name = in1energy
x5unit = GeV
x5value = column4

### Data
#
#  CLAS 2023 ALU
#  Problematic bins commented out, see the corresponding
#  Jupyter notebook for details.
############################################################
# Q2_center xB_center tm_center in1energy  FTval FTerr FTerrsyst??
############################################################
#1.589453   0.115313   0.154219       10.2  0.182 0.045     0.000
1.696654   0.151441   0.171997       10.2  0.299 0.050     0.000
#1.709302   0.251822   0.196854       10.2  0.671 0.121     0.000 # had problems
1.576064   0.115910   0.281584       10.2  0.236 0.053     0.000
#1.681418   0.147630   0.305961       10.2  0.366 0.069     0.000
1.580863   0.114347   0.563821       10.2  0.098 0.053     0.000
1.674714   0.154275   0.568730       10.2  0.114 0.082     0.000
#1.588316   0.114659   1.038127       10.2  4.192 3.545     0.000
#2.007384   0.142239   0.163730       10.2  0.190 0.049     0.000
#2.152467   0.196357   0.184275       10.2  0.282 0.029     0.000
#2.148355   0.309725   0.237910       10.2  0.448 0.123     0.000
1.992040   0.145938   0.296064       10.2  0.344 0.043     0.000
2.161056   0.189654   0.326524       10.2  0.223 0.039     0.000
2.156849   0.309509   0.390735       10.2  0.322 0.079     0.000
1.984675   0.145385   0.569293       10.2  0.181 0.054     0.000
2.131959   0.192998   0.599073       10.2  0.223 0.043     0.000
2.172328   0.309551   0.654313       10.2  0.166 0.283     0.000
2.012117   0.143512   1.094274       10.2  0.207 0.180     0.000
2.118781   0.200592   1.182921       10.2  0.038 0.079     0.000
2.641486   0.184819   0.185474       10.2  0.239 0.045     0.000
2.795166   0.261540   0.218319       10.2  0.405 0.035     0.000
2.839677   0.386032   0.314478       10.2  0.200 0.067     0.000
2.655306   0.189226   0.324989       10.2  0.297 0.041     0.000
#2.864032   0.253616   0.362494       10.2  0.295 0.029     0.000
2.850990   0.382219   0.473438       10.2  0.241 0.082     0.000
2.626814   0.191228   0.579196       10.2  0.215 0.055     0.000
2.850869   0.248593   0.629512       10.2  0.317 0.040     0.000
#2.885186   0.390504   0.744827       10.2  0.154 0.090     0.000
2.830275   0.260625   1.287325       10.2  0.087 0.079     0.000
3.606593   0.277374   0.240221       10.2  0.180 0.054     0.000
#4.074731   0.411647   0.344345       10.2  0.244 0.045     0.000
3.693818   0.271365   0.379214       10.2  0.251 0.035     0.000
4.041459   0.401738   0.507204       10.2  0.299 0.045     0.000
3.766105   0.277225   0.644421       10.2  0.226 0.045     0.000
#4.116291   0.407382   0.785554       10.2  0.302 0.064     0.000
3.762304   0.282597   1.398766       10.2  0.149 0.115     0.000
4.199933   0.407791   1.655253       10.2  0.129 0.093     0.000
5.846323   0.461464   0.423602       10.2  0.175 0.060     0.000
5.808171   0.457166   0.608410       10.2  0.379 0.062     0.000
5.757529   0.439655   0.854354       10.2  0.129 0.087     0.000
#5.922177   0.450291   2.123891       10.2  0.168 0.146     0.000
