id = 193
editor = MH

## data were obtained from phi fitting

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2022
reference = arxiv:2211.11274
inspiretex = CLAS:2022syx


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.2
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column4
y1errorstatistic = column5 
y1errorsystematic = column6 
# only statistical error is given to us so syst error is 0

### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = -1


### Data
#
#  CLAS 2023 ALU
#                                       error
#  Q2      xB      -t      val     errstat   errsyst
#################################################################
1.35411 0.09835 0.14931  0.129798 0.056638 0.000000
1.35411 0.09835 0.14931 -0.012126 0.079643 0.000000
1.35411 0.09835 0.14931 -0.065066 0.080807 0.000000
1.35411 0.09835 0.14931  0.504813 0.065824 0.000000
1.35411 0.09835 0.14931 -0.159961 0.085413 0.000000
1.35411 0.09835 0.14931 -0.124905 0.074322 0.000000
1.35411 0.09835 0.14931 -0.130172 0.074811 0.000000
1.35411 0.09835 0.14931  0.119229 0.086419 0.000000
1.35525 0.09856 0.28166 -0.025020 0.108752 0.000000
1.35525 0.09856 0.28166  0.196018 0.057414 0.000000
1.35525 0.09856 0.28166  0.328134 0.089471 0.000000
1.35525 0.09856 0.28166 -0.167878 0.078334 0.000000
1.35525 0.09856 0.28166 -0.248583 0.075571 0.000000
1.58945 0.11531 0.15422 -0.060646 0.043776 0.000000
1.58945 0.11531 0.15422  0.063069 0.040101 0.000000
1.58945 0.11531 0.15422  0.180689 0.029916 0.000000
1.58945 0.11531 0.15422  0.115477 0.031679 0.000000
1.58945 0.11531 0.15422  0.141207 0.039400 0.000000
1.58945 0.11531 0.15422  0.089943 0.090560 0.000000
1.58945 0.11531 0.15422  0.210126 0.079451 0.000000
1.58945 0.11531 0.15422 -0.099879 0.099740 0.000000
1.58945 0.11531 0.15422  0.254379 0.067062 0.000000
1.58945 0.11531 0.15422  0.036488 0.114750 0.000000
1.58945 0.11531 0.15422 -0.200390 0.115827 0.000000
1.58945 0.11531 0.15422 -0.122991 0.049159 0.000000
1.58945 0.11531 0.15422 -0.160578 0.032617 0.000000
1.58945 0.11531 0.15422 -0.240773 0.034922 0.000000
1.58945 0.11531 0.15422 -0.070198 0.052936 0.000000
1.58945 0.11531 0.15422 -0.062014 0.041497 0.000000
1.69665 0.15144 0.17200  0.073225 0.057557 0.000000
1.69665 0.15144 0.17200  0.072518 0.060675 0.000000
1.69665 0.15144 0.17200 -0.135158 0.120338 0.000000
1.69665 0.15144 0.17200  0.308131 0.120157 0.000000
1.69665 0.15144 0.17200  0.277034 0.083095 0.000000
1.69665 0.15144 0.17200  0.386755 0.062217 0.000000
1.69665 0.15144 0.17200  0.144717 0.081920 0.000000
1.69665 0.15144 0.17200 -0.062301 0.103576 0.000000
1.69665 0.15144 0.17200 -0.000777 0.088584 0.000000
1.69665 0.15144 0.17200 -0.132423 0.128749 0.000000
