id = 183
editor = MH

## data were obtained from phi fitting

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2022
reference = arxiv.org/pdf/2211.11274
inspiretex = CLAS:2022syx
reference2 = F.T. by M.H. 

### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column4
y1errorstatistic = column5 
y1errorsystematic = column6 
# only statistical error is given to us so syst error is 0

### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = -1
`

### Data
#
#  CLAS 2022 ALU
#                                       error
#   Q2      xB     -t      val    errstat   errsyst
#################################################################
1.17006 0.09397 0.15512 -0.004015 0.015353      0.0
1.17006 0.09397 0.15512  0.063576 0.016478      0.0
1.17006 0.09397 0.15512  0.098354 0.017340      0.0
1.17006 0.09397 0.15512  0.145918 0.016812      0.0
1.17006 0.09397 0.15512  0.165289 0.018380      0.0
1.17006 0.09397 0.15512  0.226742 0.022066      0.0
1.17006 0.09397 0.15512  0.170445 0.035881      0.0
1.17006 0.09397 0.15512  0.201054 0.051292      0.0
1.17006 0.09397 0.15512  0.196896 0.068945      0.0
1.17006 0.09397 0.15512  0.195160 0.080646      0.0
1.17006 0.09397 0.15512  0.220570 0.058886      0.0
1.17006 0.09397 0.15512  0.102624 0.059352      0.0
1.17006 0.09397 0.15512  0.153486 0.046084      0.0
1.17006 0.09397 0.15512  0.197954 0.047678      0.0
1.17006 0.09397 0.15512  0.094459 0.047890      0.0
1.17006 0.09397 0.15512 -0.000287 0.058113      0.0
1.17006 0.09397 0.15512  0.051989 0.064546      0.0
1.17006 0.09397 0.15512 -0.093807 0.069521      0.0
1.17006 0.09397 0.15512 -0.002751 0.067540      0.0
1.17006 0.09397 0.15512 -0.181496 0.085861      0.0
1.17006 0.09397 0.15512 -0.434516 0.101771      0.0
1.17006 0.09397 0.15512 -0.396749 0.129083      0.0
1.17006 0.09397 0.15512 -0.138658 0.057839      0.0
1.17006 0.09397 0.15512 -0.209361 0.031957      0.0
1.17006 0.09397 0.15512 -0.213470 0.021098      0.0
1.17006 0.09397 0.15512 -0.153312 0.018898      0.0
1.17006 0.09397 0.15512 -0.096404 0.017923      0.0
1.17006 0.09397 0.15512 -0.152948 0.018952      0.0
1.17006 0.09397 0.15512 -0.042887 0.015706      0.0
1.20288 0.16264 0.16717  0.007888 0.040446      0.0
1.20288 0.16264 0.16717  0.111085 0.035762      0.0
1.20288 0.16264 0.16717  0.139750 0.041485      0.0
1.20288 0.16264 0.16717  0.253767 0.049478      0.0
1.20288 0.16264 0.16717  0.245527 0.071006      0.0
