id = 162
editor = MH
# XUUw obtained by fit to the first two sin harmonics


collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2018
reference = arxiv.org/pdf/1810.02110

### Scattering Process

frame = Trento

in1energy = 5.88
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUUw


y1name = XUUw
y1namelong = weigthed Beam Helicity Independent Cross Section
y1unit = nb/GeV^4
y1value = column4
y1errorstatistic = column5
# Systematic error include c0/c1 enhancement of cos(phi)
y1errorsystematic = column6  


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = column7

### Data
#
# CLAS 2018 XUUw
#
#  Q2       xB       tm        FTval   FTstat  FTsyst   FTn 
###########################################################
1.835000 0.245000 0.263000  0.124881 0.010125 0.012871    0
1.837000 0.245000 0.342000  0.077363 0.008057 0.007974    0
1.845000 0.244000 0.450000  0.030784 0.006587 0.003173    0
2.159000 0.245000 0.109000  0.363461 0.010370 0.037461    0
2.113000 0.246000 0.153000  0.322045 0.006375 0.033192    0
2.177000 0.245000 0.204000  0.217075 0.007906 0.022373    0
2.137000 0.245000 0.263000  0.146728 0.004335 0.015123    0
2.135000 0.246000 0.342000  0.093022 0.044532 0.009588    0
#2.141000 0.245000 0.450000  0.075443 6.062368 0.007776    0
1.990000 0.273000 0.111000  0.081571 0.024529 0.008407    0
1.994000 0.274000 0.155000  0.139248 0.005451 0.014352    0
1.995000 0.274000 0.205000  0.107742 0.005590 0.011105    0
1.996000 0.274000 0.265000  0.086085 0.007414 0.008873    0
1.989000 0.274000 0.343000  0.051620 0.009710 0.005320    0
1.988000 0.275000 0.451000  0.046632 0.019979 0.004806    0
2.406000 0.273000 0.112000  0.118004 0.007803 0.012162    0
2.387000 0.275000 0.154000  0.178291 0.004222 0.018376    0
2.328000 0.275000 0.203000  0.164936 0.004582 0.017000    0
2.316000 0.275000 0.262000  0.100409 0.002553 0.010349    0
2.376000 0.275000 0.342000  0.065789 0.002319 0.006781    0
2.368000 0.275000 0.450000  0.035033 0.001861 0.003611    0
2.143000 0.301000 0.118000 -0.069361 0.114076 0.007149    0
2.159000 0.304000 0.156000  0.095884 0.008258 0.009883    0
2.161000 0.304000 0.205000  0.086487 0.010865 0.008914    0
2.162000 0.304000 0.265000  0.045928 0.004529 0.004734    0
2.163000 0.304000 0.345000  0.035089 0.006713 0.003617    0
2.143000 0.305000 0.451000  0.026890 0.004121 0.002772    0
2.625000 0.300000 0.119000  0.185373 0.146345 0.019106    0
2.651000 0.304000 0.156000  0.133180 0.008718 0.013727    0
2.629000 0.305000 0.204000  0.105659 0.002722 0.010890    0
2.567000 0.305000 0.262000  0.074906 0.001764 0.007720    0
2.553000 0.305000 0.341000  0.077172 0.002032 0.007954    0
2.629000 0.305000 0.450000  0.027292 0.001368 0.002813    0
2.626000 0.305000 0.610000  0.011169 0.001808 0.001151    0
2.230000 0.324000 0.127000  0.050665 0.021629 0.005222    0
2.293000 0.334000 0.205000  0.097215 0.030806 0.010020    0
2.294000 0.334000 0.265000  0.035512 0.004508 0.003660    0
2.295000 0.334000 0.345000  0.023938 0.013217 0.002467    0
2.295000 0.334000 0.456000  0.017632 0.011304 0.001817    0
2.843000 0.332000 0.159000  0.177401 0.056353 0.018284    0
2.860000 0.334000 0.205000  0.074178 0.003900 0.007645    0
2.841000 0.334000 0.264000  0.054016 0.001586 0.005567    0
2.764000 0.335000 0.342000  0.033371 0.001024 0.003439    0
2.755000 0.335000 0.448000  0.018485 0.000639 0.001905    0
2.842000 0.335000 0.611000  0.008677 0.000607 0.000894    0
2.386000 0.359000 0.170000  0.062655 0.113546 0.006458    0
2.416000 0.364000 0.206000  0.041595 0.013202 0.004287    0
2.418000 0.364000 0.265000  0.025017 0.010610 0.002578    0
2.418000 0.364000 0.345000 -0.000920 0.010448 0.000095    0
2.418000 0.364000 0.455000  0.020420 0.008249 0.002105    0
#2.998000 0.358000 0.171000 -1.661888 1.558880 0.171287    0
3.049000 0.363000 0.206000  0.067312 0.016530 0.006938    0
3.059000 0.364000 0.265000  0.042109 0.002755 0.004340    0
3.038000 0.364000 0.343000  0.028053 0.001264 0.002891    0
2.944000 0.365000 0.449000  0.014529 0.000597 0.001497    0
2.940000 0.365000 0.608000  0.011070 0.002399 0.001141    0
2.514000 0.392000 0.213000 -0.049271 0.083444 0.005078    0
2.548000 0.398000 0.266000  0.025401 0.012676 0.002618    0
2.549000 0.398000 0.345000  0.006847 0.006326 0.000706    0
2.549000 0.398000 0.455000  0.016438 0.008153 0.001694    0
3.203000 0.390000 0.215000 -0.071764 0.094042 0.007397    0
3.263000 0.398000 0.266000  0.017692 0.088612 0.001823    0
3.274000 0.398000 0.345000  0.025045 0.002908 0.002581    0
3.253000 0.399000 0.452000  0.012310 0.000783 0.001269    0
3.131000 0.400000 0.606000  0.006883 0.000609 0.000709    0
2.969000 0.445000 0.347000  0.004015 0.003694 0.000414    0
3.041000 0.454000 0.455000  0.010785 0.003017 0.001112    0
3.588000 0.429000 0.278000 -0.046836 0.102723 0.004827    0
3.703000 0.446000 0.348000  0.017201 0.008513 0.001773    0
3.804000 0.462000 0.457000  0.007610 0.001015 0.000784    0
3.870000 0.475000 0.617000  0.003667 0.000537 0.000378    0
3.982000 0.500000 0.872000  0.001243 0.000278 0.000128    0


1.128000 0.124000 0.108000  0.975221 0.455430 0.271150    1
1.129000 0.124000 0.153000  0.197006 0.197908 0.160542    1
1.129000 0.125000 0.203000  0.275659 0.145757 0.100763    1
1.129000 0.125000 0.262000  0.203443 0.049502 0.063999    1
1.298000 0.154000 0.109000  0.118206 0.097507 0.153532    1
1.300000 0.154000 0.153000  0.131988 0.066189 0.090666    1
1.301000 0.154000 0.203000  0.136722 0.039206 0.054492    1
1.301000 0.154000 0.262000  0.023849 0.028886 0.037176    1
1.424000 0.155000 0.108000  0.470307 0.292892 0.171358    1
1.425000 0.155000 0.153000  0.089909 0.141766 0.112865    1
1.425000 0.155000 0.203000  0.153970 0.091606 0.061867    1
1.425000 0.155000 0.262000  0.021934 0.031725 0.040806    1
1.426000 0.155000 0.340000  0.012935 0.125009 0.024936    1
1.483000 0.184000 0.109000  0.091424 0.047416 0.084817    1
1.485000 0.184000 0.154000  0.134146 0.028680 0.053103    1
1.486000 0.184000 0.204000  0.030546 0.020788 0.034868    1
1.486000 0.184000 0.262000  0.067930 0.167467 0.022036    1
1.487000 0.184000 0.341000  0.026110 0.012013 0.012759    1
1.669000 0.185000 0.109000  0.011178 0.077976 0.103843    1
1.670000 0.185000 0.153000  0.096169 0.051963 0.062770    1
1.670000 0.185000 0.203000  0.029016 0.044969 0.043201    1
1.670000 0.185000 0.262000  0.075817 0.029635 0.025523    1
1.670000 0.185000 0.340000  0.051010 0.011983 0.015695    1
1.681000 0.213000 0.110000 -0.085207 0.022255 0.048046    1
1.682000 0.214000 0.155000 -0.018892 0.012064 0.032134    1
1.683000 0.214000 0.204000  0.008266 0.010199 0.021302    1
1.684000 0.214000 0.263000  0.013258 0.008135 0.014009    1
1.684000 0.214000 0.341000  0.026654 0.007737 0.008628    1
1.925000 0.215000 0.109000 -0.142510 0.027666 0.061093    1
1.934000 0.215000 0.154000 -0.040708 0.022896 0.043285    1
1.934000 0.215000 0.203000  0.029549 0.019720 0.025398    1
1.934000 0.215000 0.262000  0.022060 0.012953 0.016515    1
1.933000 0.215000 0.341000  0.006958 0.007820 0.009449    1
1.933000 0.215000 0.447000  0.013259 0.004998 0.005047    1
1.843000 0.244000 0.110000 -0.173458 0.009577 0.024865    1
1.845000 0.244000 0.154000 -0.054555 0.009738 0.019803    1
1.845000 0.244000 0.205000 -0.005279 0.007464 0.013531    1
1.845000 0.244000 0.264000  0.037877 0.018886 0.010051    1
1.846000 0.244000 0.343000  0.016234 0.011744 0.006120    1
1.846000 0.244000 0.449000 -0.002974 0.009123 0.002404    1
2.166000 0.244000 0.110000 -0.144450 0.015985 0.029926    1
2.133000 0.245000 0.153000 -0.082955 0.008657 0.025685    1
2.176000 0.245000 0.204000 -0.008006 0.013758 0.016904    1
2.176000 0.245000 0.263000  0.000460 0.007154 0.011420    1
2.174000 0.245000 0.341000 -0.003263 0.079862 0.007244    1
1.990000 0.273000 0.111000 -0.185827 0.042749 0.014069    1
1.994000 0.274000 0.155000 -0.056518 0.009019 0.011491    1
1.995000 0.274000 0.205000 -0.022790 0.009429 0.008526    1
1.996000 0.274000 0.264000  0.010656 0.012451 0.006739    1
1.996000 0.274000 0.344000  0.008198 0.016383 0.004056    1
1.995000 0.274000 0.451000  0.036054 0.031396 0.004371    1
2.406000 0.273000 0.112000 -0.132415 0.016105 0.012822    1
2.402000 0.274000 0.154000 -0.055219 0.006392 0.014370    1
2.365000 0.275000 0.204000 -0.031309 0.007340 0.013011    1
2.392000 0.275000 0.263000 -0.016731 0.003796 0.007896    1
2.412000 0.275000 0.342000 -0.003177 0.003361 0.005125    1
2.408000 0.275000 0.448000  0.002099 0.002520 0.002730    1
2.143000 0.301000 0.118000 -0.240980 0.177726 0.017153    1
2.160000 0.304000 0.155000 -0.005120 0.013659 0.007471    1
2.162000 0.304000 0.205000 -0.003060 0.020225 0.006735    1
2.162000 0.304000 0.264000 -0.017351 0.007859 0.003762    1
2.162000 0.304000 0.344000 -0.000343 0.010944 0.002731    1
2.162000 0.304000 0.453000  0.009107 0.005757 0.002182    1
2.625000 0.301000 0.119000  0.163564 0.239326 0.018174    1
2.653000 0.304000 0.156000  0.015236 0.014962 0.010417    1
2.645000 0.304000 0.204000 -0.009411 0.003953 0.008248    1
2.609000 0.305000 0.263000 -0.017535 0.002602 0.005949    1
2.639000 0.305000 0.342000 -0.054436 0.003035 0.007043    1
2.649000 0.305000 0.449000  0.002522 0.001941 0.002131    1
2.644000 0.305000 0.607000 -0.000141 0.003032 0.000869    1
2.285000 0.333000 0.159000 -0.014055 0.036302 0.004056    1
2.294000 0.334000 0.205000  0.062599 0.052127 0.008668    1
2.295000 0.334000 0.265000 -0.009039 0.007614 0.002831    1
2.295000 0.334000 0.344000 -0.006898 0.020992 0.001921    1
2.295000 0.334000 0.454000  0.004029 0.017477 0.001399    1
2.843000 0.332000 0.159000  0.133452 0.087950 0.016491    1
2.859000 0.334000 0.205000 -0.001920 0.006555 0.005775    1
2.857000 0.334000 0.264000 -0.005850 0.002381 0.004223    1
